Compound ID,Compound Name,CAS,Index     #,Alternate Name(s),Formula ,SMILES (pubchem),Molar Volume (25C),A,B,C,Vapor Presure mmHg (25C),Surface Area [Jmol] (A^2/molecule),Volume [Jmol] (A^3/molecule),q [Jmol],r [Jmol],Classification,"-OH, N, X groups take precedence over aromatic/aliphatic constituents"
77,decalin,91-17-8,1829,decahydronaphthalene,C10H18,C1CCC2CCCCC2C1,159.278,6.82768,1544.81000,204.091,1.214687107,177.0622448165140,144.1383192906620,4.265532277,5.721959444,7,
78,decane,124-18-5,1865,,C10H22,CCCCCCCCCC,195.446,7.21745,1693.93000,216.459,1.592414349,215.8004400788010,163.8756477341530,5.198757892,6.505485944,6,
79,dodecane,112-40-3,2003,,C12H26,CCCCCCCCCCCC,228.642,7.22883,1807.47000,199.381,0.1490969661,256.5000168518450,194.2790870248890,6.179234326,7.71243249,6,
80,isopropylbenzene,98-82-8,1640,cumene,C9H12,CC(C)C1=CC=CC=C1,139.761,7.10691,1577.97000,220.977,4.918107508,159.1025568982300,124.9241133509570,3.832872968,4.959199703,7,
81,n-methylaniline,100-61-8,1276,"methylaniline, methyl phenylamine",C7H9N,CNC1=CC=CC=C1,109.12,7.74401,2085.01000,232.863,0.4552839153,135.1194209079680,105.0418396146330,3.255105298,4.169919208,8,
82,"n,n-dimethylformamide",68-12-2,468,dimethylformamide,C3H7NO,CN(C)C=O,77.349,7.24128,1597.92000,213.457,3.46894668,101.7217136449420,71.4135805921532,2.45053514,2.834954743,8,
83,nitrobenzene,98-95-3,981,,C6H5NO2,C1=CC=C(C=C1)[N+](=O)[O-],102.678,7.53814,2018.37000,222.575,0.2429853945,131.2504587279770,102.9849848056530,3.161899753,4.088266807,8,
84,pentadecane*,629-62-9,2062,,C15H32,CCCCCCCCCCCCCCC,277.672,7.29987,1985.73000,178.677,0.003551917341,293.6607338704490,241.6611367263770,7.074457573,9.593390781,6,
85,Pyrrolidine,123-75-1,674,,C4H9N,C1CCNC1,82.701,7.15003,1291.56000,215.958,61.64895928,100.3479391491530,73.6000933647722,2.417440114,2.921754266,8,
86,tetrachloroethylene,127-18-4,205,tetrachloroethene,C2Cl4,C(=C(Cl)Cl)(Cl)Cl,102.81,7.06892,1458.45000,226.986,19.1028627,124.0451381271020,94.3667595187697,2.988319396,3.746143104,8,
87,Thiophene,110-02-1,546,thiofuran,C4H4S,C1=CSC=C1,79.454,7.06944,1296.79000,225.437,77.86303608,84.1426684752130,62.9766431608610,2.027045735,2.50002775,8,
88,diethyl sulfide,352-93-2,719,"ethyl sulfide, 3-thiapentane",C4H10S,CCSCC,108.401,7.20449,1423.41000,237.112,59.42221786,124.6142700000000,90.4495100000000,3.002030113,3.590637316,8,
89,ethanethiol,75-08-1,323,ethyl mercaptan,C2H6S,CCS,74.593,7.1629,1202.03000,245.711,527.9949256,85.7907793767647,58.9774850986347,2.066749684,2.341270382,8,
90,propylamine,107-10-8,504,1-aminopropane,C3H9N,CCCN,82.789,7.06592,1102.65000,215.619,304.3436012,97.5238527887973,66.9320678440629,2.349406234,2.657049004,8,
91,"1,1,2-trichloroethane",79-00-5,263,,C2H3Cl3,C(C(Cl)Cl)Cl,92.964,7.14357,1457.65000,228.099,24.23043176,115.6644977708530,85.1770221594558,2.786424904,3.381331687,8,
92,"1,1-dichloroethane",75-34-3,281,,C2H4Cl2,CC(Cl)Cl,84.725,7.18316,1269.43000,237.755,224.8688951,98.2568942938380,70.2023547983291,2.36706563,2.786871867,8,
93,"1,2,4-trimethylbenzene",95-63-6,1643,pseudocumene,C9H12,CC1=CC(=C(C=C1)C)C,137.837,7.29329,1763.35000,230.248,2.426111175,158.8794359986380,124.7361138998320,3.827497856,4.951736557,7,
94,1-bromo-2-methylpropane,78-77-3,660,,C4H9Br,CC(C)CBr,108.996,7.28667,1462.32000,240.374,59.73904549,123.5096558308800,89.9197529680961,2.975419317,3.569607182,8,
95,1-bromopentane,110-53-2,874,,C5H11Br,CCCCCBr,124.626,8.26539,2118.98000,263.938,8.544879783,143.4279973728980,105.1105082481870,3.455263729,4.172645194,8,
96,1-bromopropane,106-94-5,451,propyl bromide,C3H7Br,CCCBr,91.444,7.33043,1403.41000,244.400,132.1413563,104.8631290327060,74.5719587357746,2.52621366,2.960335084,8,
97,1-chloropropane,540-54-5,453,propyl chloride,C3H7Cl,CCCCl,91.754,7.11195,1208.24000,239.039,343.5257781,100.5702645071800,70.8163372090130,2.422796061,2.811245555,8,
98,1-fluorooctane,463-11-6,---,,C8H17F,CCCCCCCCF,163.884,7.21056,1551.57000,216.050,5.940809487,186.0055693609090,137.9197580219600,4.480982158,5.475096878,8,
99,1-heptanol,111-70-6,1377,enanthic alcohol,C7H16O,CCCCCCCO,141.712,7.18822,1482.06000,167.773,0.3163079814,169.0894868581630,126.2552507478820,4.073463909,5.012042793,2,
100,1-iodobutane,542-69-8,671,,C4H9I,CCCCI,114.497,7.20027,1549.23000,228.134,12.02465963,131.2387913103820,96.8263540660773,3.161618678,3.843783345,8,
